wave,req,endpoint,http_code,result
3,40,customers,404,fail
3,27,customers,404,fail
3,8,products,200,ok
3,39,customers,404,fail
3,2,orders,400,fail
3,9,products,200,ok
3,10,orders,400,fail
3,20,customers,404,fail
3,32,customers,404,fail
3,15,orders,400,fail
3,16,products,200,ok
3,34,customers,404,fail
3,41,customers,404,fail
3,21,products,200,ok
3,17,orders,400,fail
3,37,customers,404,fail
3,33,customers,404,fail
3,22,products,200,ok
3,1,orders,400,fail
3,43,customers,404,fail
3,46,customers,404,fail
3,7,customers,404,fail
3,9,orders,400,fail
3,35,customers,404,fail
3,10,products,200,ok
3,11,customers,404,fail
3,11,products,200,ok
3,25,customers,404,fail
3,13,orders,400,fail
3,8,orders,400,fail
3,2,products,200,ok
3,25,products,200,ok
3,38,customers,404,fail
3,29,customers,404,fail
3,44,customers,404,fail
3,50,customers,404,fail
3,28,customers,404,fail
3,19,products,200,ok
3,10,customers,404,fail
3,23,products,200,ok
3,18,orders,400,fail
3,26,customers,404,fail
3,14,orders,400,fail
3,29,products,200,ok
3,11,orders,400,fail
3,14,products,200,ok
3,19,orders,400,fail
3,18,customers,404,fail
3,24,products,200,ok
3,12,products,200,ok
3,7,products,200,ok
3,4,orders,400,fail
3,26,products,200,ok
3,5,products,200,ok
3,5,customers,404,fail
3,3,products,200,ok
3,17,customers,404,fail
3,22,customers,404,fail
3,3,orders,400,fail
3,20,products,200,ok
3,49,customers,404,fail
3,6,products,200,ok
3,6,orders,400,fail
